curve_id,pair_id,kind,archetype,GT,method,method_label,policy,regime,threshold,surveillance_days,n_events,any_event,first_event_day,alert_days,alert_day_proportion,mean_episode_duration_days,truth_T1_observable,truth_T2_observable,premature,detected_in_window,miss_before_T2,first_effective_alert_day,lead_to_T2_days,signed_timing_from_T1_days,endpoint,T2_shift_GT
validation_fast_respiratory_000_outbreak,validation_fast_respiratory_000,outbreak,fast_respiratory,2.703313767258473,EEMD_CWT_Rt_concordance,EEMD-CWT/Rt concordance,review_1d,sensitivity_prioritized_target_2p25,1.055219814777607,196,4,True,54.0,4,0.02040816326530612,1.0,57.0,66.70331376725848,True,True,False,63.0,3.7033137672584786,6.0,observable_expansion_primary,1.0
validation_fast_respiratory_000_outbreak,validation_fast_respiratory_000,outbreak,fast_respiratory,2.703313767258473,Rt_P_gt_1,Cori-style P(Rt>1),review_1d,sensitivity_prioritized_target_2p25,0.9355011551324904,196,10,True,30.0,10,0.05102040816326531,1.0,57.0,66.70331376725848,True,True,False,63.0,3.7033137672584786,6.0,observable_expansion_primary,1.0
validation_fast_respiratory_000_outbreak,validation_fast_respiratory_000,outbreak,fast_respiratory,2.703313767258473,rolling_quantile,Rolling quantile,review_1d,sensitivity_prioritized_target_2p25,0.022483025315888423,196,6,True,57.0,6,0.030612244897959183,1.0,57.0,66.70331376725848,False,True,False,57.0,9.703313767258479,0.0,observable_expansion_primary,1.0
validation_fast_respiratory_000_outbreak,validation_fast_respiratory_000,outbreak,fast_respiratory,2.703313767258473,EWMA,EWMA,review_1d,sensitivity_prioritized_target_2p25,1.0603197769194608,196,7,True,24.0,7,0.03571428571428571,1.0,57.0,66.70331376725848,True,True,False,57.0,9.703313767258479,0.0,observable_expansion_primary,1.0
validation_fast_respiratory_000_outbreak,validation_fast_respiratory_000,outbreak,fast_respiratory,2.703313767258473,CUSUM,CUSUM,review_1d,sensitivity_prioritized_target_2p25,1.5087565142938533,196,2,True,30.0,2,0.01020408163265306,1.0,57.0,66.70331376725848,True,True,False,57.0,9.703313767258479,0.0,observable_expansion_primary,1.0
validation_fast_respiratory_000_outbreak,validation_fast_respiratory_000,outbreak,fast_respiratory,2.703313767258473,BOCPD,Bayesian online changepoint,review_1d,sensitivity_prioritized_target_2p25,0.03316165162890901,196,3,True,63.0,3,0.015306122448979591,1.0,57.0,66.70331376725848,False,True,False,63.0,3.7033137672584786,6.0,observable_expansion_primary,1.0
validation_fast_respiratory_000_no_outbreak,validation_fast_respiratory_000,no_outbreak,fast_respiratory,2.703313767258473,EEMD_CWT_Rt_concordance,EEMD-CWT/Rt concordance,review_1d,sensitivity_prioritized_target_2p25,1.055219814777607,196,2,True,54.0,2,0.01020408163265306,1.0,,,False,False,False,,,,observable_expansion_primary,1.0
validation_fast_respiratory_000_no_outbreak,validation_fast_respiratory_000,no_outbreak,fast_respiratory,2.703313767258473,Rt_P_gt_1,Cori-style P(Rt>1),review_1d,sensitivity_prioritized_target_2p25,0.9355011551324904,196,5,True,72.0,5,0.025510204081632654,1.0,,,False,False,False,,,,observable_expansion_primary,1.0
validation_fast_respiratory_000_no_outbreak,validation_fast_respiratory_000,no_outbreak,fast_respiratory,2.703313767258473,rolling_quantile,Rolling quantile,review_1d,sensitivity_prioritized_target_2p25,0.022483025315888423,196,4,True,27.0,4,0.02040816326530612,1.0,,,False,False,False,,,,observable_expansion_primary,1.0
validation_fast_respiratory_000_no_outbreak,validation_fast_respiratory_000,no_outbreak,fast_respiratory,2.703313767258473,EWMA,EWMA,review_1d,sensitivity_prioritized_target_2p25,1.0603197769194608,196,8,True,27.0,8,0.04081632653061224,1.0,,,False,False,False,,,,observable_expansion_primary,1.0
validation_fast_respiratory_000_no_outbreak,validation_fast_respiratory_000,no_outbreak,fast_respiratory,2.703313767258473,CUSUM,CUSUM,review_1d,sensitivity_prioritized_target_2p25,1.5087565142938533,196,6,True,27.0,6,0.030612244897959183,1.0,,,False,False,False,,,,observable_expansion_primary,1.0
validation_fast_respiratory_000_no_outbreak,validation_fast_respiratory_000,no_outbreak,fast_respiratory,2.703313767258473,BOCPD,Bayesian online changepoint,review_1d,sensitivity_prioritized_target_2p25,0.03316165162890901,196,2,True,72.0,2,0.01020408163265306,1.0,,,False,False,False,,,,observable_expansion_primary,1.0
validation_fast_respiratory_001_outbreak,validation_fast_respiratory_001,outbreak,fast_respiratory,2.615855983944301,EEMD_CWT_Rt_concordance,EEMD-CWT/Rt concordance,review_1d,sensitivity_prioritized_target_2p25,1.055219814777607,196,4,True,57.0,4,0.02040816326530612,1.0,53.0,62.6158559839443,False,True,False,57.0,5.6158559839443,4.0,observable_expansion_primary,1.0
validation_fast_respiratory_001_outbreak,validation_fast_respiratory_001,outbreak,fast_respiratory,2.615855983944301,Rt_P_gt_1,Cori-style P(Rt>1),review_1d,sensitivity_prioritized_target_2p25,0.9355011551324904,196,10,True,24.0,10,0.05102040816326531,1.0,53.0,62.6158559839443,True,True,False,60.0,2.6158559839443,7.0,observable_expansion_primary,1.0
validation_fast_respiratory_001_outbreak,validation_fast_respiratory_001,outbreak,fast_respiratory,2.615855983944301,rolling_quantile,Rolling quantile,review_1d,sensitivity_prioritized_target_2p25,0.022483025315888423,196,8,True,36.0,8,0.04081632653061224,1.0,53.0,62.6158559839443,True,True,False,57.0,5.6158559839443,4.0,observable_expansion_primary,1.0
validation_fast_respiratory_001_outbreak,validation_fast_respiratory_001,outbreak,fast_respiratory,2.615855983944301,EWMA,EWMA,review_1d,sensitivity_prioritized_target_2p25,1.0603197769194608,196,9,True,24.0,9,0.04591836734693878,1.0,53.0,62.6158559839443,True,True,False,60.0,2.6158559839443,7.0,observable_expansion_primary,1.0
validation_fast_respiratory_001_outbreak,validation_fast_respiratory_001,outbreak,fast_respiratory,2.615855983944301,CUSUM,CUSUM,review_1d,sensitivity_prioritized_target_2p25,1.5087565142938533,196,1,True,30.0,1,0.00510204081632653,1.0,53.0,62.6158559839443,True,False,True,,,,observable_expansion_primary,1.0
validation_fast_respiratory_001_outbreak,validation_fast_respiratory_001,outbreak,fast_respiratory,2.615855983944301,BOCPD,Bayesian online changepoint,review_1d,sensitivity_prioritized_target_2p25,0.03316165162890901,196,5,True,24.0,5,0.025510204081632654,1.0,53.0,62.6158559839443,True,True,False,60.0,2.6158559839443,7.0,observable_expansion_primary,1.0
validation_fast_respiratory_001_no_outbreak,validation_fast_respiratory_001,no_outbreak,fast_respiratory,2.615855983944301,EEMD_CWT_Rt_concordance,EEMD-CWT/Rt concordance,review_1d,sensitivity_prioritized_target_2p25,1.055219814777607,196,2,True,51.0,2,0.01020408163265306,1.0,,,False,False,False,,,,observable_expansion_primary,1.0
validation_fast_respiratory_001_no_outbreak,validation_fast_respiratory_001,no_outbreak,fast_respiratory,2.615855983944301,Rt_P_gt_1,Cori-style P(Rt>1),review_1d,sensitivity_prioritized_target_2p25,0.9355011551324904,196,7,True,51.0,7,0.03571428571428571,1.0,,,False,False,False,,,,observable_expansion_primary,1.0
validation_fast_respiratory_001_no_outbreak,validation_fast_respiratory_001,no_outbreak,fast_respiratory,2.615855983944301,rolling_quantile,Rolling quantile,review_1d,sensitivity_prioritized_target_2p25,0.022483025315888423,196,6,True,39.0,6,0.030612244897959183,1.0,,,False,False,False,,,,observable_expansion_primary,1.0
validation_fast_respiratory_001_no_outbreak,validation_fast_respiratory_001,no_outbreak,fast_respiratory,2.615855983944301,EWMA,EWMA,review_1d,sensitivity_prioritized_target_2p25,1.0603197769194608,196,8,True,39.0,8,0.04081632653061224,1.0,,,False,False,False,,,,observable_expansion_primary,1.0
validation_fast_respiratory_001_no_outbreak,validation_fast_respiratory_001,no_outbreak,fast_respiratory,2.615855983944301,CUSUM,CUSUM,review_1d,sensitivity_prioritized_target_2p25,1.5087565142938533,196,4,True,39.0,4,0.02040816326530612,1.0,,,False,False,False,,,,observable_expansion_primary,1.0
validation_fast_respiratory_001_no_outbreak,validation_fast_respiratory_001,no_outbreak,fast_respiratory,2.615855983944301,BOCPD,Bayesian online changepoint,review_1d,sensitivity_prioritized_target_2p25,0.03316165162890901,196,2,True,51.0,2,0.01020408163265306,1.0,,,False,False,False,,,,observable_expansion_primary,1.0
